year,month,day,hour,day_of_week,temperature_F
2020,1,9,4,4,39.34
2020,1,9,5,4,37
2020,1,9,6,4,35.74
2020,1,9,7,4,34.66
2020,1,9,8,4,32.72
2020,1,9,9,4,31.93
2020,1,9,10,4,32.67
2020,1,9,11,4,32.36
2020,1,9,12,4,32
2020,1,9,13,4,32.49
2020,1,9,14,4,38.21
2020,1,9,15,4,43.84
2020,1,9,16,4,47.18
2020,1,9,17,4,50.11
2020,1,9,18,4,51.88
2020,1,9,19,4,52.87
2020,1,9,20,4,53.51
2020,1,9,21,4,53.56
2020,1,9,22,4,50.13
2020,1,9,23,4,47.95
2020,1,10,0,5,46.93
2020,1,10,1,5,46.27
2020,1,10,2,5,45.63
2020,1,10,3,5,45.06
2020,1,10,4,5,44.8
2020,1,10,5,5,44.21
2020,1,10,6,5,44.04
2020,1,10,7,5,44.03
2020,1,10,8,5,43.63
2020,1,10,9,5,43.14
2020,1,10,10,5,44.07
2020,1,10,11,5,44.29
2020,1,10,12,5,44.68
2020,1,10,13,5,45.37
2020,1,10,14,5,47.32
2020,1,10,15,5,51.12
2020,1,10,16,5,53.06
2020,1,10,17,5,55.28
2020,1,10,18,5,57.05
2020,1,10,19,5,58.4
2020,1,10,20,5,59.82
2020,1,10,21,5,60.23
2020,1,10,22,5,57.72
2020,1,10,23,5,56.92
2020,1,11,0,6,56.53
2020,1,11,1,6,56.35
2020,1,11,2,6,56.03
2020,1,11,3,6,56.11
2020,1,11,4,6,56.03
2020,1,11,5,6,56.58
2020,1,11,6,6,56.4
2020,1,11,7,6,57.54
2020,1,11,8,6,57.67
2020,1,11,9,6,57.92
2020,1,11,10,6,59.89
2020,1,11,11,6,60.28
2020,1,11,12,6,60.38
2020,1,11,13,6,60.58
2020,1,11,14,6,62.34
2020,1,11,15,6,64.59
2020,1,11,16,6,65.48
2020,1,11,17,6,66.43
2020,1,11,18,6,67.36
2020,1,11,19,6,68.55
2020,1,11,20,6,69.31
2020,1,11,21,6,69.07
2020,1,11,22,6,68.94
2020,1,11,23,6,68.77
2020,1,12,0,7,68.73
2020,1,12,1,7,68.18
2020,1,12,2,7,68.09
2020,1,12,3,7,67.99
2020,1,12,4,7,68.18
2020,1,12,5,7,67.73
2020,1,12,6,7,67.69
2020,1,12,7,7,66.77
2020,1,12,8,7,65.81
2020,1,12,9,7,64.47
2020,1,12,10,7,61.88
2020,1,12,11,7,61.22
2020,1,12,12,7,60.47
2020,1,12,13,7,59.67
2020,1,12,14,7,60.52
2020,1,12,15,7,63.01
2020,1,12,16,7,65.31
2020,1,12,17,7,67.36
2020,1,12,18,7,68.65
2020,1,12,19,7,69.92
2020,1,12,20,7,70.57
2020,1,12,21,7,70.42
2020,1,12,22,7,66.68
2020,1,12,23,7,63.73
2020,1,13,0,1,62.14
2020,1,13,1,1,61.43
2020,1,13,2,1,60.9
2020,1,13,3,1,60.23
2020,1,13,4,1,60.03
2020,1,13,5,1,59.61
2020,1,13,6,1,59.37
2020,1,13,7,1,59.33
2020,1,13,8,1,59.43
2020,1,13,9,1,58.92
2020,1,13,10,1,60.01
2020,1,13,11,1,59.98
2020,1,13,12,1,59.94
2020,1,13,13,1,60.23
2020,1,13,14,1,60.38
2020,1,13,15,1,60.58
2020,1,13,16,1,60.96
2020,1,13,17,1,61.17
2020,1,13,18,1,61.7
2020,1,13,19,1,61.75
2020,1,13,20,1,62.81
2020,1,13,21,1,63.33
2020,1,13,22,1,61.97
2020,1,13,23,1,61.43
2020,1,14,0,2,61.27
2020,1,14,1,2,61.37
2020,1,14,2,2,61.4
2020,1,14,3,2,61.74
2020,1,14,4,2,62
2020,1,14,5,2,61.97
2020,1,14,6,2,62.05
2020,1,14,7,2,62.02
2020,1,14,8,2,62.22
2020,1,14,9,2,61.61
2020,1,14,10,2,61.19
2020,1,14,11,2,61.23
2020,1,14,12,2,61.3
2020,1,14,13,2,61.49
2020,1,14,14,2,61.53
2020,1,14,15,2,62.6
2020,1,14,16,2,62.93
2020,1,14,17,2,63.74
2020,1,14,18,2,64.19
2020,1,14,19,2,63.87
2020,1,14,20,2,64.65
2020,1,14,21,2,64.59
2020,1,14,22,2,63.35
2020,1,14,23,2,62.86
2020,1,15,0,3,62.27
2020,1,15,1,3,61.78
2020,1,15,2,3,61.08
2020,1,15,3,3,59.84
2020,1,15,4,3,59.54
2020,1,15,5,3,58.93
2020,1,15,6,3,58.26
2020,1,15,7,3,57.49
2020,1,15,8,3,57.45
2020,1,15,9,3,57.08
2020,1,15,10,3,55.88
2020,1,15,11,3,55.88
2020,1,15,12,3,56.05
2020,1,15,13,3,56.31
2020,1,15,14,3,57.12
2020,1,15,15,3,59.65
2020,1,15,16,3,61.71
2020,1,15,17,3,64.26
2020,1,15,18,3,65.96
2020,1,15,19,3,66.79
2020,1,15,20,3,67.33
2020,1,15,21,3,67.17
2020,1,15,22,3,65.19
2020,1,15,23,3,64.27
2020,1,16,0,4,62.72
2020,1,16,1,4,61.79
2020,1,16,2,4,61.38
2020,1,16,3,4,60.62
2020,1,16,4,4,60.16
2020,1,16,5,4,58.83
2020,1,16,6,4,59.71
2020,1,16,7,4,60.33
2020,1,16,8,4,60.41
2020,1,16,9,4,60.49
2020,1,16,10,4,61.08
2020,1,16,11,4,61.06
2020,1,16,12,4,61.21
2020,1,16,13,4,60.74
2020,1,16,14,4,59.9
2020,1,16,15,4,60.2
2020,1,16,16,4,60.84
2020,1,16,17,4,61.96
2020,1,16,18,4,62.82
2020,1,16,19,4,63.09
2020,1,16,20,4,63.34
2020,1,16,21,4,62.59
2020,1,16,22,4,57.75
2020,1,16,23,4,55.46
2020,1,17,0,5,54.01
2020,1,17,1,5,52.87
2020,1,17,2,5,51.19
2020,1,17,3,5,48.71
2020,1,17,4,5,48.18
2020,1,17,5,5,46.05
2020,1,17,6,5,44.71
2020,1,17,7,5,43.27
2020,1,17,8,5,41.87
2020,1,17,9,5,40.97
2020,1,17,10,5,38.11
2020,1,17,11,5,37.65
2020,1,17,12,5,37.33
2020,1,17,13,5,37.45
2020,1,17,14,5,38.66
2020,1,17,15,5,40.96
2020,1,17,16,5,42.31
2020,1,17,17,5,44.28
2020,1,17,18,5,45.3
2020,1,17,19,5,45.65
2020,1,17,20,5,46.03
2020,1,17,21,5,45.67
2020,1,17,22,5,43.45
2020,1,17,23,5,42.55
2020,1,18,0,6,41.53
2020,1,18,1,6,41.06
2020,1,18,2,6,40.1
2020,1,18,3,6,39.65
2020,1,18,4,6,39.28
2020,1,18,5,6,38.58
2020,1,18,6,6,38.52
2020,1,18,7,6,38.04
2020,1,18,8,6,37.36
2020,1,18,9,6,37.1
2020,1,18,10,6,36.69
2020,1,18,11,6,36.09
2020,1,18,12,6,35.83
2020,1,18,13,6,35.83
2020,1,18,14,6,36.91
2020,1,18,15,6,38.89
2020,1,18,16,6,39.5
2020,1,18,17,6,41.15
2020,1,18,18,6,42.03
2020,1,18,19,6,42.7
2020,1,18,20,6,43.04
2020,1,18,21,6,43.11
2020,1,18,22,6,41.74
2020,1,18,23,6,41.65
2020,1,19,0,7,42.09
2020,1,19,1,7,43.32
2020,1,19,2,7,43.99
2020,1,19,3,7,43.8
2020,1,19,4,7,44.33
2020,1,19,5,7,45.58
2020,1,19,6,7,46.71
2020,1,19,7,7,47.98
2020,1,19,8,7,48.8
2020,1,19,9,7,50.09
2020,1,19,10,7,48.1
2020,1,19,11,7,48.27
2020,1,19,12,7,48.57
2020,1,19,13,7,48.52
2020,1,19,14,7,48.63
2020,1,19,15,7,48.49
2020,1,19,16,7,49.01
2020,1,19,17,7,50.63
2020,1,19,18,7,51.51
2020,1,19,19,7,52.16
2020,1,19,20,7,51.97
2020,1,19,21,7,51.28
2020,1,19,22,7,46.9
2020,1,19,23,7,44
2020,1,20,0,1,41.62
2020,1,20,1,1,39.77
2020,1,20,2,1,37.57
2020,1,20,3,1,35.12
2020,1,20,4,1,34.12
2020,1,20,5,1,31.99
2020,1,20,6,1,31.26
2020,1,20,7,1,30.2
2020,1,20,8,1,29.1
2020,1,20,9,1,27.93
2020,1,20,10,1,26.68
2020,1,20,11,1,26.65
2020,1,20,12,1,26.64
2020,1,20,13,1,26.9
2020,1,20,14,1,29.22
2020,1,20,15,1,32.03
2020,1,20,16,1,33.22
2020,1,20,17,1,34.67
2020,1,20,18,1,35.78
2020,1,20,19,1,36.51
2020,1,20,20,1,37.2
2020,1,20,21,1,37.18
2020,1,20,22,1,34.86
2020,1,20,23,1,32.48
2020,1,21,0,2,31.01
2020,1,21,1,2,30.1
2020,1,21,2,2,29.22
2020,1,21,3,2,28.04
2020,1,21,4,2,27.87
2020,1,21,5,2,27.12
2020,1,21,6,2,26.85
2020,1,21,7,2,26.32
2020,1,21,8,2,25.93
2020,1,21,9,2,25.75
2020,1,21,10,2,24.95
2020,1,21,11,2,24.87
2020,1,21,12,2,25.15
2020,1,21,13,2,25.07
2020,1,21,14,2,27.16
2020,1,21,15,2,30.52
2020,1,21,16,2,31.73
2020,1,21,17,2,33.76
2020,1,21,18,2,35.01
2020,1,21,19,2,35.72
2020,1,21,20,2,36.88
2020,1,21,21,2,37.27
2020,1,21,22,2,34.55
2020,1,21,23,2,32.34
2020,1,22,0,3,30.91
2020,1,22,1,3,30.32
2020,1,22,2,3,29.88
2020,1,22,3,3,29
2020,1,22,4,3,28.75
2020,1,22,5,3,27.37
2020,1,22,6,3,26.82
2020,1,22,7,3,26.57
2020,1,22,8,3,25.79
2020,1,22,9,3,24.95
2020,1,22,10,3,24.66
2020,1,22,11,3,24.81
2020,1,22,12,3,24.84
2020,1,22,13,3,24.89
2020,1,22,14,3,28.1
2020,1,22,15,3,33.15
2020,1,22,16,3,35.83
2020,1,22,17,3,39.44
2020,1,22,18,3,41.72
2020,1,22,19,3,43.15
2020,1,22,20,3,44.73
2020,1,22,21,3,45.44
2020,1,22,22,3,41.9
2020,1,22,23,3,39.53
2020,1,23,0,4,37.2
2020,1,23,1,4,35.54
2020,1,23,2,4,33.86
2020,1,23,3,4,32.76
2020,1,23,4,4,32.04
2020,1,23,5,4,30.33
2020,1,23,6,4,29.53
2020,1,23,7,4,29.63
2020,1,23,8,4,29.33
2020,1,23,9,4,29.29
2020,1,23,10,4,29.8
2020,1,23,11,4,30.11
2020,1,23,12,4,30.58
2020,1,23,13,4,30.84
2020,1,23,14,4,32.68
2020,1,23,15,4,37.13
2020,1,23,16,4,39.59
2020,1,23,17,4,42.42
2020,1,23,18,4,44.85
2020,1,23,19,4,45.88
2020,1,23,20,4,47.42
2020,1,23,21,4,47.91
2020,1,23,22,4,46.43
2020,1,23,23,4,44.73
2020,1,24,0,5,43.7
2020,1,24,1,5,42.9
2020,1,24,2,5,42.24
2020,1,24,3,5,41.31
2020,1,24,4,5,41.08
2020,1,24,5,5,40.32
2020,1,24,6,5,40.04
2020,1,24,7,5,40.04
2020,1,24,8,5,39.46
2020,1,24,9,5,38.9
2020,1,24,10,5,39.41
2020,1,24,11,5,39.42
2020,1,24,12,5,39.56
2020,1,24,13,5,40.11
2020,1,24,14,5,41.51
2020,1,24,15,5,44.38
2020,1,24,16,5,45.8
2020,1,24,17,5,49.11
2020,1,24,18,5,51.66
2020,1,24,19,5,53.28
2020,1,24,20,5,55.14
2020,1,24,21,5,55.23
2020,1,24,22,5,54.89
2020,1,24,23,5,53.68
2020,1,25,0,6,52.64
2020,1,25,1,6,51.97
2020,1,25,2,6,51.54
2020,1,25,3,6,50.81
2020,1,25,4,6,50.54
2020,1,25,5,6,50.23
2020,1,25,6,6,49.15
2020,1,25,7,6,48.78
2020,1,25,8,6,47.46
2020,1,25,9,6,46.22
2020,1,25,10,6,44
2020,1,25,11,6,43.64
2020,1,25,12,6,43.21
2020,1,25,13,6,43.11
2020,1,25,14,6,43.93
2020,1,25,15,6,46.55
2020,1,25,16,6,48.33
2020,1,25,17,6,50.9
2020,1,25,18,6,51.82
2020,1,25,19,6,52.62
2020,1,25,20,6,52.62
2020,1,25,21,6,52.44
2020,1,25,22,6,49.21
2020,1,25,23,6,46.93
2020,1,26,0,7,44.91
2020,1,26,1,7,43.64
2020,1,26,2,7,41.3
2020,1,26,3,7,39.28
2020,1,26,4,7,37.97
2020,1,26,5,7,36.46
2020,1,26,6,7,36.09
2020,1,26,7,7,35.35
2020,1,26,8,7,34.29
2020,1,26,9,7,34.22
2020,1,26,10,7,31.95
2020,1,26,11,7,31.54
2020,1,26,12,7,31.74
2020,1,26,13,7,31.99
2020,1,26,14,7,37.97
2020,1,26,15,7,43.34
2020,1,26,16,7,45.14
2020,1,26,17,7,47.38
2020,1,26,18,7,49.09
2020,1,26,19,7,50.16
2020,1,26,20,7,51.36
2020,1,26,21,7,52.37
2020,1,26,22,7,49.39
2020,1,26,23,7,46.57
2020,1,27,0,1,44.57
2020,1,27,1,1,44.2
2020,1,27,2,1,42.51
2020,1,27,3,1,40.73
2020,1,27,4,1,39.61
2020,1,27,5,1,38.86
2020,1,27,6,1,38.8
2020,1,27,7,1,39.31
2020,1,27,8,1,38.45
2020,1,27,9,1,38.22
2020,1,27,10,1,37.78
2020,1,27,11,1,37.84
2020,1,27,12,1,38.25
2020,1,27,13,1,38.78
2020,1,27,14,1,41.37
2020,1,27,15,1,45.13
2020,1,27,16,1,47.92
2020,1,27,17,1,50.59
2020,1,27,18,1,52.14
2020,1,27,19,1,52.16
2020,1,27,20,1,51.49
2020,1,27,21,1,51.12
2020,1,27,22,1,49.17
2020,1,27,23,1,47.74
2020,1,28,0,2,46.14
2020,1,28,1,2,44.04
2020,1,28,2,2,43
2020,1,28,3,2,41.66
2020,1,28,4,2,41.13
2020,1,28,5,2,39.7
2020,1,28,6,2,39.46
2020,1,28,7,2,38.47
2020,1,28,8,2,37.74
2020,1,28,9,2,36.93
2020,1,28,10,2,36.78
2020,1,28,11,2,36.22
2020,1,28,12,2,36.38
2020,1,28,13,2,36.89
2020,1,28,14,2,41.35
2020,1,28,15,2,45.97
2020,1,28,16,2,48.27
2020,1,28,17,2,49.96
2020,1,28,18,2,51.01
2020,1,28,19,2,51.98
2020,1,28,20,2,53.25
2020,1,28,21,2,53.98
2020,1,28,22,2,50.58
2020,1,28,23,2,48.16
2020,1,29,0,3,45.51
2020,1,29,1,3,43.09
2020,1,29,2,3,41.22
2020,1,29,3,3,39.59
2020,1,29,4,3,38.24
2020,1,29,5,3,36.75
2020,1,29,6,3,36.08
2020,1,29,7,3,35.65
2020,1,29,8,3,34.72
2020,1,29,9,3,34.15
2020,1,29,10,3,32.93
2020,1,29,11,3,33.03
2020,1,29,12,3,33.54
2020,1,29,13,3,33.63
2020,1,29,14,3,37.4
2020,1,29,15,3,42.05
2020,1,29,16,3,44.42
2020,1,29,17,3,46.77
2020,1,29,18,3,47.96
2020,1,29,19,3,48.74
2020,1,29,20,3,48.86
2020,1,29,21,3,48.95
2020,1,29,22,3,47.22
2020,1,29,23,3,45.76
2020,1,30,0,4,44.84
2020,1,30,1,4,44.31
2020,1,30,2,4,43.89
2020,1,30,3,4,43.07
2020,1,30,4,4,43.07
2020,1,30,5,4,42.07
2020,1,30,6,4,41.96
2020,1,30,7,4,41.53
2020,1,30,8,4,40.66
2020,1,30,9,4,40.02
2020,1,30,10,4,38.36
2020,1,30,11,4,37.9
2020,1,30,12,4,37.12
2020,1,30,13,4,37.39
2020,1,30,14,4,39.64
2020,1,30,15,4,42.92
2020,1,30,16,4,44.24
2020,1,30,17,4,46.55
2020,1,30,18,4,47.98
2020,1,30,19,4,49.16
2020,1,30,20,4,50.18
2020,1,30,21,4,50.4
2020,1,30,22,4,47.47
2020,1,30,23,4,45.38
2020,1,31,0,5,43.92
2020,1,31,1,5,42.42
2020,1,31,2,5,40.83
2020,1,31,3,5,39.29
2020,1,31,4,5,39.14
2020,1,31,5,5,37.49
2020,1,31,6,5,36.28
2020,1,31,7,5,35.99
2020,1,31,8,5,34.79
2020,1,31,9,5,33.91
2020,1,31,10,5,33.43
2020,1,31,11,5,33.4
2020,1,31,12,5,33.08
2020,1,31,13,5,34.19
2020,1,31,14,5,36.18
2020,1,31,15,5,38.09
2020,1,31,16,5,38.58
2020,1,31,17,5,39.01
2020,1,31,18,5,39.34
2020,1,31,19,5,39.07
2020,1,31,20,5,38.47
2020,1,31,21,5,37.58
2020,1,31,22,5,37.15
2020,1,31,23,5,37.41
2020,2,1,0,6,37.34
2020,2,1,1,6,37.83
2020,2,1,2,6,37.77
2020,2,1,3,6,37.61
2020,2,1,4,6,37.84
2020,2,1,5,6,37.82
2020,2,1,6,6,37.57
2020,2,1,7,6,37.51
2020,2,1,8,6,37.09
2020,2,1,9,6,36.53
2020,2,1,10,6,37.51
2020,2,1,11,6,37.62
2020,2,1,12,6,37.92
2020,2,1,13,6,37.83
2020,2,1,14,6,39.38
2020,2,1,15,6,41.2
2020,2,1,16,6,42.71
2020,2,1,17,6,44.74
2020,2,1,18,6,46.31
2020,2,1,19,6,47.82
2020,2,1,20,6,49.2
2020,2,1,21,6,50.29
2020,2,1,22,6,48.28
2020,2,1,23,6,47.04
2020,2,2,0,7,45.59
2020,2,2,1,7,44.19
2020,2,2,2,7,43.27
2020,2,2,3,7,42.55
2020,2,2,4,7,41.12
2020,2,2,5,7,40.23
2020,2,2,6,7,40.14
2020,2,2,7,7,39.72
2020,2,2,8,7,39.23
2020,2,2,9,7,38.62
2020,2,2,10,7,36.81
2020,2,2,11,7,36.73
2020,2,2,12,7,36.65
2020,2,2,13,7,37.2
2020,2,2,14,7,42.81
2020,2,2,15,7,48.55
2020,2,2,16,7,51.72
2020,2,2,17,7,55.54
2020,2,2,18,7,57.98
2020,2,2,19,7,60
2020,2,2,20,7,61.7
2020,2,2,21,7,62.38
2020,2,2,22,7,59.68
2020,2,2,23,7,57.67
2020,2,3,0,1,56.31
2020,2,3,1,1,55.87
2020,2,3,2,1,54.92
2020,2,3,3,1,53.38
2020,2,3,4,1,52.56
2020,2,3,5,1,51.06
2020,2,3,6,1,50.64
2020,2,3,7,1,49.34
2020,2,3,8,1,48.07
2020,2,3,9,1,46.84
2020,2,3,10,1,44.52
2020,2,3,11,1,44.41
2020,2,3,12,1,44.13
2020,2,3,13,1,43.8
2020,2,3,14,1,50.13
2020,2,3,15,1,56.89
2020,2,3,16,1,62
2020,2,3,17,1,67.11
2020,2,3,18,1,69.82
2020,2,3,19,1,71.21
2020,2,3,20,1,72.66
2020,2,3,21,1,72.51
2020,2,3,22,1,68.87
2020,2,3,23,1,66.44
2020,2,4,0,2,64.08
2020,2,4,1,2,62.96
2020,2,4,2,2,61.8
2020,2,4,3,2,61.24
2020,2,4,4,2,60.94
2020,2,4,5,2,60.59
2020,2,4,6,2,60.62
2020,2,4,7,2,59.48
2020,2,4,8,2,58.17
2020,2,4,9,2,57.27
2020,2,4,10,2,57.32
2020,2,4,11,2,57.12
2020,2,4,12,2,57.04
2020,2,4,13,2,56.88
2020,2,4,14,2,58.01
2020,2,4,15,2,60.32
2020,2,4,16,2,62.11
2020,2,4,17,2,63.88
2020,2,4,18,2,65.01
2020,2,4,19,2,66.07
2020,2,4,20,2,66.03
2020,2,4,21,2,66.23
2020,2,4,22,2,64.05
2020,2,4,23,2,62.78
2020,2,5,0,3,61.43
2020,2,5,1,3,60.96
2020,2,5,2,3,60.37
2020,2,5,3,3,60.34
2020,2,5,4,3,60.53
2020,2,5,5,3,60.07
2020,2,5,6,3,60.11
2020,2,5,7,3,59.96
2020,2,5,8,3,59.86
2020,2,5,9,3,59.59
2020,2,5,10,3,59.06
2020,2,5,11,3,58.77
2020,2,5,12,3,58.66
2020,2,5,13,3,59.55
2020,2,5,14,3,60.68
2020,2,5,15,3,62.36
2020,2,5,16,3,63.37
2020,2,5,17,3,63.97
2020,2,5,18,3,64.21
2020,2,5,19,3,63.55
2020,2,5,20,3,63.42
2020,2,5,21,3,63.37
2020,2,5,22,3,62.8
2020,2,5,23,3,62.49
2020,2,6,0,4,62.37
2020,2,6,1,4,62.39
2020,2,6,2,4,62.2
2020,2,6,3,4,61.76
2020,2,6,4,4,61.42
2020,2,6,5,4,61.2
2020,2,6,6,4,60.99
2020,2,6,7,4,60.74
2020,2,6,8,4,60.49
2020,2,6,9,4,59.95
2020,2,6,10,4,59.09
2020,2,6,11,4,59.18
2020,2,6,12,4,59.72
2020,2,6,13,4,60.95
2020,2,6,14,4,61.48
2020,2,6,15,4,62.77
2020,2,6,16,4,63.52
2020,2,6,17,4,62.66
2020,2,6,18,4,62.44
2020,2,6,19,4,63
2020,2,6,20,4,62.6
2020,2,6,21,4,62.91
2020,2,6,22,4,61.65
2020,2,6,23,4,60.84
2020,2,7,0,5,60.04
2020,2,7,1,5,59.74
2020,2,7,2,5,58.95
2020,2,7,3,5,58.39
2020,2,7,4,5,58.2
2020,2,7,5,5,57.48
2020,2,7,6,5,57.54
2020,2,7,7,5,58.2
2020,2,7,8,5,58.2
2020,2,7,9,5,57.16
2020,2,7,10,5,51.44
2020,2,7,11,5,50.75
2020,2,7,12,5,49.78
2020,2,7,13,5,48.95
2020,2,7,14,5,48.74
2020,2,7,15,5,47.88
2020,2,7,16,5,48.17
2020,2,7,17,5,48.37
2020,2,7,18,5,47.8
2020,2,7,19,5,47.55
2020,2,7,20,5,47
2020,2,7,21,5,46.15
2020,2,7,22,5,43.39
2020,2,7,23,5,41.89
2020,2,8,0,6,40.91
2020,2,8,1,6,39.43
2020,2,8,2,6,38.23
2020,2,8,3,6,36.73
2020,2,8,4,6,35.83
2020,2,8,5,6,34.26
2020,2,8,6,6,33.22
2020,2,8,7,6,32.22
2020,2,8,8,6,30.96
2020,2,8,9,6,30.01
2020,2,8,10,6,27.6
2020,2,8,11,6,27.32
2020,2,8,12,6,27.48
2020,2,8,13,6,29.15
2020,2,8,14,6,33.75
2020,2,8,15,6,37.72
2020,2,8,16,6,38.75
2020,2,8,17,6,39.4
2020,2,8,18,6,39.22
2020,2,8,19,6,38.89
